,reaction_id,templates,rxn_smiles,products_run,yield,rxnname,N_atom,max_MW,charged,max_N_stereoisomers,bond_changes,aromatic,incorrect
0,2347d9fc151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([Cl:8])[cH:9][cH:10][c:11]1[Br:12].[O-:13][N+:14](=[O:15])[OH:16]>O.O.O=S(=O)(O)O>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([Cl:8])[cH:9][c:10]([N+:14]([O-:13])=[O:15])[c:11]1[Br:12],[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([Cl:8])[cH:9][c:10]([N+:14]([O-:13])=[O:15])[c:11]1[Br:12].[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]([N+:14]([O-:13])=[O:15])[c:7]([Cl:8])[cH:9][cH:10][c:11]1[Br:12].[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([Cl:8])[c:9]([N+:14]([O-:13])=[O:15])[cH:10][c:11]1[Br:12],99.58,Nitration,16,292.9090474200001,True,1,"{('10', '14', 1.0), ('14', '16', 0.0)}",True,False
1,234c24da151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[s:7][c:8](=[O:9])[nH:10][c:11]2[cH:12]1.[O-:13][N+:14](=[O:15])[OH:16]>O.O.O=S(=O)(O)O>[CH3:1][O:2][c:3]1[c:4]([N+:14]([O-:13])=[O:15])[cH:5][c:6]2[s:7][c:8](=[O:9])[nH:10][c:11]2[cH:12]1,[CH3:1][O:2][c:3]1[c:4]([N+:14]([O-:13])=[O:15])[cH:5][c:6]2[s:7][c:8](=[O:9])[nH:10][c:11]2[cH:12]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[s:7][c:8](=[O:9])[nH:10][c:11]2[c:12]1[N+:14]([O-:13])=[O:15].[CH3:1][O:2][c:3]1[cH:4][c:5]([N+:14]([O-:13])=[O:15])[c:6]2[s:7][c:8](=[O:9])[nH:10][c:11]2[cH:12]1,84.0,Nitration,16,226.004827672,True,1,"{('14', '16', 0.0), ('14', '4', 1.0)}",True,False
2,234e65d8151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[O-:1][N+:2](=[O:3])[OH:4].[O:5]=[C:6]1[NH:7][CH2:8][CH2:9][c:10]2[c:11]([Br:12])[cH:13][cH:14][cH:15][c:16]21>O.O=S(=O)(O)O>[O-:1][N+:2](=[O:3])[c:15]1[cH:14][cH:13][c:11]([Br:12])[c:10]2[c:16]1[C:6](=[O:5])[NH:7][CH2:8][CH2:9]2,[O-:1][N+:2](=[O:3])[c:15]1[cH:14][cH:13][c:11]([Br:12])[c:10]2[c:16]1[C:6](=[O:5])[NH:7][CH2:8][CH2:9]2.[O-:1][N+:2](=[O:3])[c:13]1[c:11]([Br:12])[c:10]2[c:16]([cH:15][cH:14]1)[C:6](=[O:5])[NH:7][CH2:8][CH2:9]2.[O-:1][N+:2](=[O:3])[c:14]1[cH:13][c:11]([Br:12])[c:10]2[c:16]([cH:15]1)[C:6](=[O:5])[NH:7][CH2:8][CH2:9]2,61.9,Nitration,16,269.96400418400003,True,1,"{('15', '2', 1.0), ('2', '4', 0.0)}",True,False
3,23506c02151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[CH3:1][n:2]1[cH:3][cH:4][c:5]([N:6]2[CH2:7][CH2:8][O:9][C:10]2=[O:11])[n:12]1.[O-:13][N+:14](=[O:15])[OH:16]>O=S(=O)(O)O.O[Na]>[CH3:1][n:2]1[cH:3][c:4]([N+:14]([O-:13])=[O:15])[c:5]([N:6]2[CH2:7][CH2:8][O:9][C:10]2=[O:11])[n:12]1,[CH3:1][n:2]1[cH:3][c:4]([N+:14]([O-:13])=[O:15])[c:5]([N:6]2[CH2:7][CH2:8][O:9][C:10]2=[O:11])[n:12]1.[CH3:1][n:2]1[c:3]([N+:14]([O-:13])=[O:15])[cH:4][c:5]([N:6]2[CH2:7][CH2:8][O:9][C:10]2=[O:11])[n:12]1,53.76,Nitration,16,212.05455473599997,True,1,"{('14', '16', 0.0), ('14', '4', 1.0)}",True,False
4,23506e78151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[CH3:1][n:2]1[cH:3][cH:4][c:5]([N:6]2[CH2:7][CH2:8][N:9]([CH2:10][CH2:11][O:12][CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[C:20]2=[O:21])[n:22]1.[O-:23][N+:24](=[O:25])[OH:26]>O.CC(=O)OC(C)=O.O[Na]>[CH3:1][n:2]1[cH:3][c:4]([N+:24]([O-:23])=[O:25])[c:5]([N:6]2[CH2:7][CH2:8][N:9]([CH2:10][CH2:11][O:12][CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[C:20]2=[O:21])[n:22]1,[CH3:1][n:2]1[cH:3][c:4]([N+:24]([O-:23])=[O:25])[c:5]([N:6]2[CH2:7][CH2:8][N:9]([CH2:10][CH2:11][O:12][CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[C:20]2=[O:21])[n:22]1.[CH3:1][n:2]1[c:3]([N+:24]([O-:23])=[O:25])[cH:4][c:5]([N:6]2[CH2:7][CH2:8][N:9]([CH2:10][CH2:11][O:12][CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[C:20]2=[O:21])[n:22]1.[CH3:1][n:2]1[cH:3][cH:4][c:5]([N:6]2[CH2:7][CH2:8][N:9]([CH2:10][CH2:11][O:12][CH2:13][c:14]3[c:15]([N+:24]([O-:23])=[O:25])[cH:16][cH:17][cH:18][cH:19]3)[C:20]2=[O:21])[n:22]1.[CH3:1][n:2]1[cH:3][cH:4][c:5]([N:6]2[CH2:7][CH2:8][N:9]([CH2:10][CH2:11][O:12][CH2:13][c:14]3[cH:15][c:16]([N+:24]([O-:23])=[O:25])[cH:17][cH:18][cH:19]3)[C:20]2=[O:21])[n:22]1.[CH3:1][n:2]1[cH:3][cH:4][c:5]([N:6]2[CH2:7][CH2:8][N:9]([CH2:10][CH2:11][O:12][CH2:13][c:14]3[cH:15][cH:16][c:17]([N+:24]([O-:23])=[O:25])[cH:18][cH:19]3)[C:20]2=[O:21])[n:22]1,71.31,Nitration,26,345.14370408800005,True,1,"{('24', '4', 1.0), ('24', '26', 0.0)}",True,False
5,236a2c14151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[O-:1][N+:2](=[O:3])[OH:4].[O:5]=[CH:6][c:7]1[cH:8][cH:9][c:10]([OH:11])[cH:12][c:13]1[F:14]>O.O.O=S(=O)(O)O>[O-:1][N+:2](=[O:3])[c:9]1[cH:8][c:7]([CH:6]=[O:5])[c:13]([F:14])[cH:12][c:10]1[OH:11],[O-:1][N+:2](=[O:3])[c:9]1[cH:8][c:7]([CH:6]=[O:5])[c:13]([F:14])[cH:12][c:10]1[OH:11].[O-:1][N+:2](=[O:3])[c:8]1[c:7]([CH:6]=[O:5])[c:13]([F:14])[cH:12][c:10]([OH:11])[cH:9]1.[O-:1][N+:2](=[O:3])[c:12]1[c:10]([OH:11])[cH:9][cH:8][c:7]([CH:6]=[O:5])[c:13]1[F:14],91.0,Nitration,14,185.01243582799998,True,1,"{('2', '9', 1.0), ('2', '4', 0.0)}",True,False
6,23798088151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][n:11]1[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12.[O-:24][N+:25](=[O:26])[OH:27]>O.ClCCCl>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][n:11]1[c:12]2[cH:13][cH:14][c:15]([N+:25]([O-:24])=[O:26])[cH:16][c:17]2[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][n:11]1[c:12]2[cH:13][cH:14][c:15]([N+:25]([O-:24])=[O:26])[cH:16][c:17]2[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][n:11]1[c:12]2[c:13]([N+:25]([O-:24])=[O:26])[cH:14][cH:15][cH:16][c:17]2[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][n:11]1[c:12]2[cH:13][c:14]([N+:25]([O-:24])=[O:26])[cH:15][cH:16][c:17]2[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][n:11]1[c:12]2[cH:13][cH:14][cH:15][c:16]([N+:25]([O-:24])=[O:26])[c:17]2[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12,92.0,Nitration,27,352.215078136,True,1,"{('15', '25', 1.0), ('25', '27', 0.0)}",True,False
7,2395fcb8151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[CH3:1][c:2]1[cH:3][cH:4][cH:5][n:6][c:7]1[OH:8].[O-:9][N+:10](=[O:11])[OH:12]>O.O=S(=O)(O)O>[CH3:1][c:2]1[cH:3][c:4]([N+:10]([O-:9])=[O:11])[cH:5][n:6][c:7]1[OH:8],[CH3:1][c:2]1[cH:3][c:4]([N+:10]([O-:9])=[O:11])[cH:5][n:6][c:7]1[OH:8].[CH3:1][c:2]1[c:3]([N+:10]([O-:9])=[O:11])[cH:4][cH:5][n:6][c:7]1[OH:8].[CH3:1][c:2]1[cH:3][cH:4][c:5]([N+:10]([O-:9])=[O:11])[n:6][c:7]1[OH:8],92.0,Nitration,12,154.037842052,True,1,"{('10', '12', 0.0), ('10', '4', 1.0)}",True,False
8,23962f76151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]([CH3:8])[n:9][o:10][c:11]12.[O-:12][N+:13](=[O:14])[OH:15]>O.O=S(=O)(O)O>[CH3:1][c:2]1[cH:3][c:4]([N+:13]([O-:12])=[O:14])[cH:5][c:6]2[c:7]([CH3:8])[n:9][o:10][c:11]12,[CH3:1][c:2]1[cH:3][c:4]([N+:13]([O-:12])=[O:14])[cH:5][c:6]2[c:7]([CH3:8])[n:9][o:10][c:11]12.[CH3:1][c:2]1[c:3]([N+:13]([O-:12])=[O:14])[cH:4][cH:5][c:6]2[c:7]([CH3:8])[n:9][o:10][c:11]12.[CH3:1][c:2]1[cH:3][cH:4][c:5]([N+:13]([O-:12])=[O:14])[c:6]2[c:7]([CH3:8])[n:9][o:10][c:11]12,72.7,Nitration,15,192.05349211599997,True,1,"{('13', '15', 0.0), ('13', '4', 1.0)}",True,False
9,239c51bc151311ea81f9b7db9d39a498,"[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[OH;D1;+0:4].[c,n:5]:[cH;D2;+0:6]:[c,n:7]>>[O;-;D1;H0:1]-[N+;H0;D3:2](=[O;D1;H0:3])-[c;H0;D3;+0:6](:[c,n:5]):[c,n:7]",[CH3:1][c:2]1[cH:3][cH:4][c:5]([Br:6])[c:7]([OH:8])[c:9]1[CH:10]=[O:11].[O-:12][N+:13](=[O:14])[OH:15]>O.CC(=O)O>[CH3:1][c:2]1[c:3]([N+:13]([O-:12])=[O:14])[cH:4][c:5]([Br:6])[c:7]([OH:8])[c:9]1[CH:10]=[O:11],[CH3:1][c:2]1[c:3]([N+:13]([O-:12])=[O:14])[cH:4][c:5]([Br:6])[c:7]([OH:8])[c:9]1[CH:10]=[O:11].[CH3:1][c:2]1[cH:3][c:4]([N+:13]([O-:12])=[O:14])[c:5]([Br:6])[c:7]([OH:8])[c:9]1[CH:10]=[O:11],64.0,Nitration,15,258.948019772,True,1,"{('13', '3', 1.0), ('13', '15', 0.0)}",True,False
