,reaction_id,rxn_smiles,products_run,PatentNumber
2277,227,[CH:1]([NH2:2])([CH3:3])[CH3:4].[Cl:5][c:6]1[n:7][c:8]([Cl:9])[c:10]2[c:11]([cH:12][s:13][cH:14]2)[n:15]1>C(O)C>[CH:1]([NH:2][c:8]1[n:7][c:6]([Cl:5])[n:15][c:11]2[c:10]1[cH:14][s:13][cH:12]2)([CH3:3])[CH3:4],[CH:1]([NH:2][c:8]1[n:7][c:6]([Cl:5])[n:15][c:11]2[c:10]1[cH:14][s:13][cH:12]2)([CH3:3])[CH3:4].[CH:1]([NH:2][c:6]1[n:7][c:8]([Cl:9])[c:10]2[c:11]([cH:12][s:13][cH:14]2)[n:15]1)([CH3:3])[CH3:4],US03931204
2278,4953,[Cl:1][c:2]1[n:3][c:4]([Cl:5])[c:6]2[c:7]([cH:8][cH:9][cH:10][cH:11]2)[n:12]1.[NH:13]1[CH2:14][CH2:15][O:16][CH2:17][CH2:18]1>C(O)C.O>[Cl:1][c:2]1[n:3][c:4]([N:13]2[CH2:14][CH2:15][O:16][CH2:17][CH2:18]2)[c:6]2[c:7]([cH:8][cH:9][cH:10][cH:11]2)[n:12]1,[Cl:1][c:2]1[n:3][c:4]([N:13]2[CH2:14][CH2:15][O:16][CH2:17][CH2:18]2)[c:6]2[c:7]([cH:8][cH:9][cH:10][cH:11]2)[n:12]1.[c:2]1([N:13]2[CH2:14][CH2:15][O:16][CH2:17][CH2:18]2)[n:3][c:4]([Cl:5])[c:6]2[c:7]([cH:8][cH:9][cH:10][cH:11]2)[n:12]1,US03956495
2279,12738,[CH2:1]([NH2:2])[CH2:3][NH2:4].[Cl:5][c:6]1[cH:7][c:8]([N+:9]([O-:10])=[O:11])[cH:12][cH:13][c:14]1[Cl:15]>>[CH2:1]([NH2:2])[CH2:3][NH:4][c:14]1[c:6]([Cl:5])[cH:7][c:8]([N+:9]([O-:10])=[O:11])[cH:12][cH:13]1,[CH2:1]([NH2:2])[CH2:3][NH:4][c:14]1[c:6]([Cl:5])[cH:7][c:8]([N+:9]([O-:10])=[O:11])[cH:12][cH:13]1.[CH2:1]([NH2:2])[CH2:3][NH:4][c:6]1[cH:7][c:8]([N+:9]([O-:10])=[O:11])[cH:12][cH:13][c:14]1[Cl:15],US04008272
2280,15270,[CH:1]([NH2:2])([CH3:3])[CH3:4].[Cl:5][c:6]1[c:7]([N+:8]([O-:9])=[O:10])[c:11]([CH3:12])[c:13]([Cl:14])[cH:15][c:16]1[N+:17]([O-:18])=[O:19]>C(O)C>[CH:1]([NH:2][c:6]1[c:7]([N+:8]([O-:9])=[O:10])[c:11]([CH3:12])[c:13]([Cl:14])[cH:15][c:16]1[N+:17]([O-:18])=[O:19])([CH3:3])[CH3:4],[CH:1]([NH:2][c:6]1[c:7]([N+:8]([O-:9])=[O:10])[c:11]([CH3:12])[c:13]([Cl:14])[cH:15][c:16]1[N+:17]([O-:18])=[O:19])([CH3:3])[CH3:4].[CH:1]([NH:2][c:13]1[c:11]([CH3:12])[c:7]([N+:8]([O-:9])=[O:10])[c:6]([Cl:5])[c:16]([N+:17]([O-:18])=[O:19])[cH:15]1)([CH3:3])[CH3:4],US04025538
2281,7731,[CH3:1][c:2]1[cH:3][cH:4][c:5](=[O:6])[nH:7][cH:8]1.[Cl:9][c:10]1[cH:11][cH:12][c:13]([I:14])[cH:15][cH:16]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5](=[O:6])[n:7](-[c:13]2[cH:12][cH:11][c:10]([Cl:9])[cH:16][cH:15]2)[cH:8]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](=[O:6])[n:7](-[c:13]2[cH:12][cH:11][c:10]([Cl:9])[cH:16][cH:15]2)[cH:8]1.[CH3:1][c:2]1[cH:3][cH:4][c:5](=[O:6])[n:7](-[c:10]2[cH:11][cH:12][c:13]([I:14])[cH:15][cH:16]2)[cH:8]1,US03974281
2282,26636,[CH3:1][N:2]([CH3:3])[NH2:4].[Cl:5][c:6]1[c:7]([N+:8]([O-:9])=[O:10])[c:11]([Cl:12])[c:13]([N+:14]([O-:15])=[O:16])[cH:17][c:18]1[C:19]([F:20])([F:21])[F:22]>C1CCCCC1>[CH3:1][N:2]([CH3:3])[NH:4][c:11]1[c:7]([N+:8]([O-:9])=[O:10])[c:6]([Cl:5])[c:18]([C:19]([F:20])([F:21])[F:22])[cH:17][c:13]1[N+:14]([O-:15])=[O:16],[CH3:1][N:2]([CH3:3])[NH:4][c:11]1[c:7]([N+:8]([O-:9])=[O:10])[c:6]([Cl:5])[c:18]([C:19]([F:20])([F:21])[F:22])[cH:17][c:13]1[N+:14]([O-:15])=[O:16].[CH3:1][N:2]([CH3:3])[NH:4][c:6]1[c:7]([N+:8]([O-:9])=[O:10])[c:11]([Cl:12])[c:13]([N+:14]([O-:15])=[O:16])[cH:17][c:18]1[C:19]([F:20])([F:21])[F:22],US04138244
2283,28166,[CH2:1]([NH2:2])[CH3:3].[Cl:4][c:5]1[cH:6][cH:7][c:8]([Cl:9])[cH:10][c:11]1[N+:12]([O-:13])=[O:14]>C(O)C>[CH2:1]([NH:2][c:5]1[cH:6][cH:7][c:8]([Cl:9])[cH:10][c:11]1[N+:12]([O-:13])=[O:14])[CH3:3],[CH2:1]([NH:2][c:5]1[cH:6][cH:7][c:8]([Cl:9])[cH:10][c:11]1[N+:12]([O-:13])=[O:14])[CH3:3].[CH2:1]([NH:2][c:8]1[cH:7][cH:6][c:5]([Cl:4])[c:11]([N+:12]([O-:13])=[O:14])[cH:10]1)[CH3:3],US04151280
2284,31299,[Cl:1][c:2]1[c:3]([C:4]#[N:5])[c:6](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:13][c:14]([Cl:15])[n:16]1.[NH:17]1[CH2:18][CH2:19][O:20][CH2:21][CH2:22]1>C(O)C>[Cl:1][c:2]1[c:3]([C:4]#[N:5])[c:6](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:13][c:14]([N:17]2[CH2:18][CH2:19][O:20][CH2:21][CH2:22]2)[n:16]1,[Cl:1][c:2]1[c:3]([C:4]#[N:5])[c:6](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:13][c:14]([N:17]2[CH2:18][CH2:19][O:20][CH2:21][CH2:22]2)[n:16]1.[c:2]1([N:17]2[CH2:18][CH2:19][O:20][CH2:21][CH2:22]2)[c:3]([C:4]#[N:5])[c:6](-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[cH:13][c:14]([Cl:15])[n:16]1,US04182887
2285,42563,[Cl:1][c:2]1[n:3][c:4]([Cl:5])[c:6]2[c:7]([c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[c:14]([Cl:15])[cH:16]2)[n:17]1.[NH3:18]>O1CCCC1>[Cl:1][c:2]1[n:3][c:4]([NH2:18])[c:6]2[c:7]([c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[c:14]([Cl:15])[cH:16]2)[n:17]1,[Cl:1][c:2]1[n:3][c:4]([NH2:18])[c:6]2[c:7]([c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[c:14]([Cl:15])[cH:16]2)[n:17]1.[c:2]1([NH2:18])[n:3][c:4]([Cl:5])[c:6]2[c:7]([c:8]([O:9][CH3:10])[c:11]([O:12][CH3:13])[c:14]([Cl:15])[cH:16]2)[n:17]1,US04287341
2286,42564,[Cl:1][c:2]1[n:3][c:4]([Cl:5])[c:6]2[c:7]([cH:8][c:9]([O:10][CH3:11])[c:12]([Cl:13])[cH:14]2)[n:15]1.[NH3:16]>>[Cl:1][c:2]1[n:3][c:4]([NH2:16])[c:6]2[c:7]([cH:8][c:9]([O:10][CH3:11])[c:12]([Cl:13])[cH:14]2)[n:15]1,[Cl:1][c:2]1[n:3][c:4]([NH2:16])[c:6]2[c:7]([cH:8][c:9]([O:10][CH3:11])[c:12]([Cl:13])[cH:14]2)[n:15]1.[c:2]1([NH2:16])[n:3][c:4]([Cl:5])[c:6]2[c:7]([cH:8][c:9]([O:10][CH3:11])[c:12]([Cl:13])[cH:14]2)[n:15]1,US04287341
